Entry,Entry name,Status,Protein names,Gene names,Length
Q8NF91,SYNE1_HUMAN,reviewed,Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1,8797
Q5VST9,OBSCN_HUMAN,reviewed,Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK),OBSCN KIAA1556 KIAA1639,7968
Q03001,DYST_HUMAN,reviewed,Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein),DST BP230 BP240 BPAG1 DMH DT KIAA0728,7570
Q9UPN3,MACF1_HUMAN,reviewed,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)",MACF1 ABP620 ACF7 KIAA0465 KIAA1251,7388
Q8WXH0,SYNE2_HUMAN,reviewed,Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2),SYNE2 KIAA1011 NUA,6885
P20929,NEBU_HUMAN,reviewed,Nebulin,NEB,6669
Q09666,AHNK_HUMAN,reviewed,Neuroblast differentiation-associated protein AHNAK (Desmoyokin),AHNAK PM227,5890
Q8IVF2,AHNK2_HUMAN,reviewed,Protein AHNAK2,AHNAK2 C14orf78 KIAA2019,5795
P98088,MUC5A_HUMAN,reviewed,"Mucin-5AC (MUC-5AC) (Gastric mucin) (Major airway glycoprotein) (Mucin-5 subtype AC, tracheobronchial) (Tracheobronchial mucin) (TBM)",MUC5AC MUC5,5654
O14686,KMT2D_HUMAN,reviewed,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2),KMT2D ALR MLL2 MLL4,5537
Q02817,MUC2_HUMAN,reviewed,Mucin-2 (MUC-2) (Intestinal mucin-2),MUC2 SMUC,5179
Q9Y6V0,PCLO_HUMAN,reviewed,Protein piccolo (Aczonin),PCLO ACZ KIAA0559,5142
Q4G0P3,HYDIN_HUMAN,reviewed,Hydrocephalus-inducing protein homolog,HYDIN HYDIN1 KIAA1864,5121
P21817,RYR1_HUMAN,reviewed,Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor),RYR1 RYDR,5038
